Days,Qo,Qw
222,3606.00,4.00
223,2859.00,4.00
224,2847.00,12.00
225,3653.00,14.00
226,3629.00,5.00
227,3390.00,14.00
228,3576.00,19.00
229,3175.00,29.00
230,3371.00,12.00
231,3512.00,7.00
232,3627.00,5.00
233,3607.00,5.00
234,3320.00,11.00
235,3594.00,11.00
236,2464.00,9.00
237,3377.00,11.00
238,2127.00,7.00
239,2726.00,17.00
240,2719.00,23.00
241,2714.00,31.00
242,2720.00,19.00
243,2740.00,32.00
244,2825.00,27.00
245,2828.00,24.00
246,2829.00,11.00
247,2825.00,24.00
248,2825.00,24.00
249,2832.00,24.00
250,2520.00,24.00
251,2714.00,24.00
252,2664.00,23.00
253,2653.00,11.00
254,3421.00,36.00
255,3363.00,23.00
256,3426.00,31.00
257,3525.00,11.00
258,3837.00,13.00
259,3622.00,22.00
260,3728.00,25.00
261,2823.00,22.00
262,3471.00,21.00
263,3516.00,33.00
264,2758.00,33.00
265,4443.00,28.00
266,4939.00,31.00
267,5124.00,20.00
268,5188.00,32.00
269,5204.00,38.00
270,5136.00,43.00
271,5141.00,38.00
272,5114.00,42.00
273,5060.00,35.00
274,5077.00,12.00
275,5065.00,42.00
276,5084.00,15.00
277,5106.00,13.00
278,5097.00,12.00
279,5082.00,13.00
280,5077.00,12.00
281,5074.00,9.00
282,5223.00,20.00
283,5117.00,13.00
284,3554.00,734.00
285,5034.00,683.00
286,4831.00,95.00
287,4971.00,65.00
288,5063.00,172.00
289,5146.00,21.00
290,5200.00,51.00
291,2897.00,7.00
292,4853.00,48.00
293,5256.00,15.00
294,5095.00,19.00
295,5276.00,40.00
296,5333.00,38.00
297,5435.00,35.00
298,5209.00,38.00
299,5292.00,38.00
300,5323.00,33.00
301,5242.00,38.00
302,5278.00,14.00
303,5286.00,13.00
304,5126.00,17.00
305,5240.00,23.00
306,5282.00,16.00
307,5303.00,49.00
308,5271.00,14.00
309,5301.00,49.00
310,5338.00,62.00
311,5377.00,56.00
312,5387.00,67.00
313,5417.00,67.00
314,5472.00,65.00
315,5497.00,68.00
316,5513.00,14.00
317,5508.00,14.00
318,5491.00,14.00
319,5497.00,20.00
320,5571.00,22.00
321,5496.00,15.00
322,5507.00,15.00
323,5528.00,17.00
324,5547.00,15.00
325,5557.00,41.00
326,5556.00,13.00
327,5727.00,88.00
328,5590.00,13.00
329,5629.00,26.00
330,4672.00,27.00
331,5622.00,26.00
332,5902.00,15.00
333,5644.00,14.00
334,5870.00,16.00
335,5717.00,15.00
336,5458.00,15.00
337,5110.00,44.00
338,5268.00,37.00
339,4526.00,0.00
340,4385.00,0.00
341,4235.00,0.00
342,4352.00,0.00
343,4426.00,0.00
344,4299.00,0.00
345,4124.00,0.00
346,4351.00,0.00
347,4499.00,0.00
348,4473.00,0.00
349,4495.00,0.00
350,4425.00,0.00
351,4425.00,0.00
352,4967.00,0.00
353,5586.00,0.00
354,4398.00,0.00
355,4388.00,0.00
356,5225.00,0.00
357,4402.00,0.00
358,4422.00,0.00
359,5438.00,0.00
360,4488.00,0.00
361,4430.00,0.00
362,2738.00,0.00
363,4189.00,0.00
364,4259.00,0.00
365,4393.00,0.00
366,4431.00,0.00
367,4498.00,0.00
368,3945.00,0.00
369,4331.00,0.00
370,4221.00,0.00
371,4057.00,0.00
372,4479.00,0.00
373,4436.00,0.00
374,4434.00,0.00
375,4440.00,0.00
376,3876.00,0.00
377,4536.00,0.00
378,4498.00,0.00
379,4487.00,0.00
380,4036.00,0.00
381,4422.00,0.00
382,4360.00,0.00
383,4433.00,0.00
384,4449.00,0.00
385,4593.00,0.00
386,4638.00,0.00
387,4474.00,0.00
388,2441.00,0.00
389,4366.00,0.00
390,3361.00,0.00
391,4021.00,0.00
392,4197.00,0.00
393,4693.00,0.00
394,5414.00,0.00
395,4870.00,0.00
396,3677.00,0.00
397,0.00,0.00
398,614.00,0.00
399,1409.00,0.00
400,0.00,0.00
401,3449.00,0.00
402,4322.00,0.00
403,4218.00,0.00
404,4441.00,0.00
405,4438.00,0.00
406,4418.00,0.00
407,4353.00,0.00
408,724.00,0.00
409,0.00,0.00
410,0.00,0.00
411,0.00,0.00
412,0.00,0.00
413,456.00,0.00
414,4922.00,0.00
415,5288.00,0.00
416,5145.00,0.00
417,4734.00,0.00
418,4498.00,0.00
419,4536.00,0.00
420,5545.00,22.00
421,5678.00,55.00
422,5144.00,118.00
423,5238.00,66.00
424,5605.00,51.00
425,5595.00,79.00
426,5378.00,79.00
427,4985.00,97.00
428,4998.00,33.00
429,5317.00,22.00
430,5113.00,30.00
431,4839.00,32.00
432,5271.00,24.00
433,5614.00,20.00
434,4906.00,31.00
435,4845.00,33.00
436,4018.00,93.00
437,4753.00,34.00
438,4790.00,37.00
439,4814.00,40.00
440,4856.00,36.00
441,4871.00,47.00
442,4883.00,93.00
443,4842.00,37.00
444,4860.00,37.00
445,4861.00,35.00
446,4814.00,30.00
447,4813.00,37.00
448,439.00,3.00
450,3552.00,24.00
451,4447.00,173.00
452,4815.00,142.00
453,4806.00,135.00
454,4893.00,34.00
455,4811.00,21.00
456,4771.00,23.00
457,4685.00,17.00
458,4712.00,116.00
459,4734.00,94.00
460,4741.00,117.00
461,4745.00,117.00
462,5227.00,117.00
463,5013.00,140.00
464,5011.00,139.00
465,5031.00,143.00
466,5037.00,139.00
467,4796.00,132.00
468,4764.00,141.00
469,4851.00,128.00
470,4912.00,136.00
471,4926.00,131.00
472,4940.00,145.00
473,5097.00,145.00
474,5407.00,177.00
475,5390.00,177.00
476,5469.00,182.00
477,5498.00,85.00
478,5889.00,151.00
479,5509.00,61.00
480,5521.00,46.00
481,3892.00,51.00
482,5265.00,97.00
483,5422.00,60.00
484,5357.00,10.00
485,5347.00,10.00
486,4218.00,8.00
487,4995.00,9.00
488,4132.00,8.00
489,4669.00,11.00
490,4995.00,11.00
491,5263.00,142.00
492,5081.00,150.00
493,5038.00,185.00
494,5054.00,158.00
495,5123.00,136.00
496,3422.00,99.00
497,3345.00,95.00
498,3394.00,113.00
499,3400.00,99.00
500,3234.00,92.00
501,2864.00,78.00
502,2727.00,129.00
503,2724.00,117.00
504,2794.00,112.00
505,2789.00,154.00
506,2775.00,157.00
507,2766.00,157.00
508,2762.00,157.00
509,2747.00,157.00
510,2746.00,155.00
511,3415.00,58.00
512,3404.00,72.00
513,3501.00,56.00
514,3500.00,54.00
515,3486.00,56.00
516,3514.00,56.00
517,3523.00,57.00
518,3564.00,58.00
519,3514.00,57.00
520,3451.00,56.00
521,3446.00,52.00
522,3450.00,44.00
523,3396.00,59.00
524,2808.00,70.00
525,3444.00,156.00
526,3714.00,152.00
527,3721.00,128.00
528,3682.00,147.00
529,3689.00,167.00
530,3737.00,164.00
531,3719.00,164.00
532,3704.00,167.00
533,3734.00,116.00
534,3742.00,117.00
535,3755.00,112.00
536,3693.00,111.00
537,3691.00,112.00
538,1632.00,48.00
540,12.00,0.00
541,4407.00,157.00
542,4663.00,201.00
543,4361.00,216.00
544,2424.00,97.00
545,4367.00,160.00
546,4438.00,172.00
547,4446.00,171.00
548,4594.00,327.00
549,4549.00,203.00
550,4639.00,208.00
551,4722.00,207.00
552,4767.00,218.00
553,4783.00,215.00
554,4779.00,210.00
555,4795.00,199.00
556,4801.00,210.00
557,4794.00,192.00
558,4795.00,209.00
559,4788.00,204.00
560,4817.00,211.00
561,4951.00,216.00
562,2666.00,282.00
563,3734.00,244.00
564,4690.00,126.00
565,308.00,10.00
566,0.00,0.00
567,0.00,0.00
569,0.00,0.00
570,0.00,0.00
571,0.00,0.00
572,1279.00,1.00
573,2441.00,2.00
574,5054.00,5.00
575,4574.00,180.00
576,4355.00,184.00
577,4341.00,134.00
578,4393.00,131.00
579,4477.00,151.00
580,4490.00,165.00
581,4464.00,216.00
582,4526.00,192.00
583,4512.00,153.00
584,4465.00,180.00
585,4492.00,176.00
586,4154.00,175.00
587,3306.00,107.00
588,4207.00,14.00
589,4199.00,15.00
590,4323.00,10.00
591,4685.00,15.00
592,5058.00,19.00
593,2273.00,10.00
594,32.00,0.00
595,0.00,0.00
596,0.00,0.00
597,0.00,0.00
598,3566.00,23.00
599,4883.00,8.00
600,5038.00,11.00
601,5033.00,11.00
602,5073.00,24.00
603,4327.00,266.00
604,4616.00,85.00
605,4545.00,108.00
606,4421.00,133.00
607,4441.00,140.00
608,4426.00,150.00
609,4454.00,164.00
610,3766.00,520.00
611,4258.00,204.00
612,3551.00,668.00
613,4729.00,180.00
614,1377.00,2.00
615,4119.00,289.00
616,4335.00,170.00
617,4339.00,327.00
618,4333.00,341.00
619,4324.00,313.00
620,1587.00,113.00
621,167.00,14.00
622,4190.00,280.00
623,4307.00,357.00
624,4313.00,357.00
625,4348.00,359.00
626,4275.00,355.00
627,4958.00,409.00
628,4841.00,433.00
629,4852.00,414.00
630,4829.00,401.00
631,4817.00,380.00
632,3154.00,235.00
633,4435.00,345.00
634,4404.00,339.00
635,4448.00,363.00
636,4471.00,369.00
637,4090.00,350.00
638,4245.00,389.00
639,4402.00,397.00
640,4409.00,416.00
641,4379.00,413.00
642,4413.00,411.00
643,4447.00,435.00
644,4517.00,394.00
645,4725.00,264.00
646,4875.00,399.00
647,4842.00,385.00
648,4005.00,331.00
649,4847.00,401.00
650,4841.00,380.00
651,3930.00,315.00
652,4127.00,553.00
653,4837.00,171.00
654,4881.00,416.00
655,4865.00,382.00
656,4855.00,382.00
657,5013.00,414.00
658,5062.00,446.00
659,5031.00,409.00
660,5048.00,453.00
661,5044.00,448.00
662,5485.00,574.00
663,5190.00,536.00
664,5303.00,565.00
665,5468.00,578.00
666,5604.00,539.00
667,5601.00,551.00
668,5549.00,423.00
669,5480.00,350.00
670,5465.00,563.00
671,5050.00,599.00
672,5381.00,592.00
673,5367.00,581.00
674,5358.00,360.00
675,5018.00,552.00
676,2517.00,310.00
677,3378.00,447.00
678,4229.00,588.00
679,5347.00,701.00
680,5356.00,527.00
681,5154.00,605.00
682,5064.00,661.00
683,5165.00,622.00
684,5149.00,680.00
685,5099.00,466.00
686,5298.00,768.00
687,5281.00,734.00
688,5280.00,784.00
689,5243.00,754.00
690,5262.00,791.00
691,5256.00,848.00
692,5228.00,794.00
693,5199.00,750.00
694,5206.00,542.00
695,5200.00,551.00
696,5190.00,710.00
697,5186.00,580.00
698,4035.00,515.00
699,5141.00,606.00
700,5158.00,693.00
701,5161.00,626.00
702,5136.00,695.00
703,5092.00,890.00
704,5034.00,864.00
705,4979.00,927.00
706,4906.00,928.00
707,4689.00,1122.00
708,4647.00,1098.00
709,4628.00,1316.00
710,4587.00,1321.00
711,4563.00,1318.00
712,4011.00,1131.00
713,4441.00,1254.00
714,4597.00,1343.00
715,3954.00,1136.00
716,4420.00,1280.00
717,4626.00,1389.00
718,4706.00,1352.00
719,4720.00,1401.00
720,4702.00,1462.00
721,4673.00,1457.00
722,4545.00,1466.00
723,4285.00,1490.00
724,4111.00,1756.00
725,4257.00,1448.00
726,4234.00,1070.00
727,4140.00,1509.00
728,4327.00,1647.00
729,4301.00,1641.00
730,4249.00,1592.00
731,4106.00,1738.00
732,3816.00,1681.00
733,3737.00,1688.00
734,2111.00,879.00
735,2059.00,639.00
736,4108.00,1703.00
737,4040.00,1652.00
738,3211.00,1377.00
739,4027.00,1786.00
740,3946.00,1796.00
741,4037.00,1856.00
742,3994.00,1850.00
743,3461.00,1593.00
744,3991.00,1940.00
745,3288.00,1390.00
746,2861.00,2133.00
747,3108.00,2441.00
750,0.00,0.00
751,3466.00,1790.00
752,4145.00,1808.00
753,4026.00,1802.00
754,3445.00,1578.00
756,2406.00,807.00
757,4345.00,2405.00
758,4259.00,1900.00
759,3501.00,1440.00
760,2541.00,969.00
761,3716.00,1564.00
762,3802.00,1656.00
763,3861.00,2058.00
764,3718.00,1776.00
765,3831.00,2038.00
766,3927.00,1865.00
767,3887.00,2123.00
768,3848.00,2121.00
769,3828.00,2134.00
770,3454.00,1878.00
771,3413.00,2066.00
772,3406.00,1954.00
773,3426.00,2028.00
774,3525.00,2180.00
775,3588.00,2193.00
776,3511.00,2215.00
777,3740.00,2390.00
778,3474.00,2510.00
779,3485.00,2752.00
780,787.00,618.00
781,3408.00,2499.00
782,3187.00,2429.00
783,3495.00,2679.00
784,3429.00,2574.00
785,3342.00,2466.00
786,3330.00,2653.00
787,3198.00,2856.00
788,3170.00,2664.00
789,3148.00,2685.00
790,3124.00,2609.00
791,3108.00,2604.00
792,3100.00,2637.00
793,3215.00,1789.00
794,3220.00,2285.00
795,3259.00,2296.00
796,2865.00,2165.00
797,3151.00,2145.00
798,3191.00,2313.00
799,3404.00,2080.00
800,2969.00,2347.00
801,2950.00,2517.00
802,2903.00,2483.00
803,2516.00,2235.00
804,2154.00,2015.00
805,1635.00,1524.00
806,2508.00,2251.00
807,1793.00,1495.00
808,2119.00,1858.00
809,2574.00,2224.00
810,2588.00,2229.00
811,2641.00,2245.00
812,2659.00,2255.00
813,1523.00,1234.00
814,2574.00,2333.00
815,2531.00,2110.00
816,2494.00,2263.00
817,2482.00,2305.00
818,2475.00,2298.00
819,2766.00,2506.00
820,2749.00,2486.00
821,2712.00,2473.00
822,2666.00,2335.00
823,2702.00,2355.00
824,2697.00,2449.00
825,2685.00,2317.00
826,2670.00,2564.00
827,2640.00,2754.00
828,2574.00,2542.00
829,2549.00,2796.00
830,2521.00,2667.00
831,2504.00,2657.00
832,2500.00,2595.00
833,2496.00,2589.00
834,2483.00,2688.00
835,2476.00,2847.00
836,2421.00,2472.00
837,2013.00,1788.00
838,2456.00,2876.00
839,2346.00,2760.00
840,1522.00,1650.00
841,1812.00,1318.00
842,2421.00,2797.00
843,2404.00,2719.00
844,2385.00,2639.00
845,2350.00,3018.00
846,2344.00,2920.00
847,2381.00,2908.00
848,2385.00,2913.00
849,2382.00,2743.00
850,2378.00,2847.00
851,2421.00,2607.00
852,2408.00,2701.00
853,2434.00,2424.00
854,2392.00,2809.00
855,2384.00,2932.00
856,2353.00,2836.00
857,2378.00,2891.00
858,2370.00,2836.00
859,1945.00,2385.00
860,2343.00,3005.00
861,2348.00,2997.00
862,2329.00,2963.00
863,2314.00,2957.00
864,2313.00,2953.00
865,2284.00,2857.00
866,2282.00,2863.00
867,2278.00,2863.00
868,2272.00,2868.00
869,2267.00,2839.00
870,2263.00,2863.00
871,2255.00,2874.00
872,2257.00,2899.00
873,2575.00,3483.00
874,2607.00,3443.00
875,2618.00,3441.00
876,2626.00,3508.00
877,2545.00,3438.00
878,2553.00,3493.00
879,2555.00,3545.00
880,1939.00,2751.00
881,2424.00,3558.00
882,2270.00,3253.00
883,1826.00,2538.00
884,1828.00,2565.00
885,1826.00,2333.00
886,1823.00,2446.00
887,1815.00,2446.00
888,1807.00,1901.00
889,1802.00,2788.00
890,1802.00,3022.00
891,1793.00,3033.00
892,1784.00,3060.00
893,1863.00,3224.00
894,1865.00,3238.00
895,1865.00,3248.00
896,1857.00,3251.00
897,1860.00,3257.00
898,1857.00,3259.00
899,1854.00,3262.00
900,1846.00,3246.00
901,1843.00,3249.00
902,1840.00,3257.00
903,1846.00,3260.00
904,1843.00,3277.00
905,1841.00,3273.00
906,1572.00,3015.00
907,1796.00,3439.00
908,1498.00,2881.00
909,1801.00,3453.00
910,1813.00,3457.00
911,1820.00,3363.00
912,1821.00,3375.00
913,1819.00,3382.00
914,1820.00,3394.00
915,1821.00,3391.00
916,1729.00,3193.00
918,0.00,0.00
921,0.00,0.00
922,0.00,0.00
923,0.00,0.00
924,0.00,0.00
926,0.00,0.00
927,0.00,0.00
928,0.00,0.00
929,0.00,0.00
930,1070.00,2078.00
931,1242.00,1690.00
932,1126.00,1610.00
933,983.00,2113.00
934,1940.00,2660.00
935,2007.00,2820.00
936,2081.00,3009.00
937,2071.00,3261.00
938,2041.00,3188.00
939,2037.00,3472.00
940,2016.00,3324.00
941,2000.00,3503.00
942,1894.00,3085.00
943,1908.00,3160.00
944,2023.00,3456.00
945,1969.00,3615.00
946,2039.00,3520.00
947,2055.00,4131.00
948,2047.00,4066.00
949,2048.00,4001.00
950,1452.00,3152.00
951,1870.00,4006.00
952,1456.00,3371.00
953,172.00,386.00
954,595.00,1442.00
955,0.00,0.00
956,1828.00,2879.00
957,2119.00,3303.00
958,1959.00,3039.00
959,2083.00,3060.00
960,2049.00,2741.00
961,2023.00,3102.00
962,545.00,2563.00
963,1549.00,2617.00
964,1975.00,2959.00
965,1895.00,2839.00
966,1400.00,2219.00
967,1146.00,2073.00
968,1836.00,2998.00
969,1847.00,3454.00
970,876.00,1765.00
971,1791.00,3489.00
972,1778.00,3295.00
973,1765.00,3487.00
974,1759.00,3377.00
975,1760.00,3273.00
976,1741.00,3235.00
977,1733.00,3276.00
978,1727.00,3260.00
979,1716.00,3298.00
980,1707.00,3315.00
981,1695.00,3400.00
982,1685.00,3413.00
983,1680.00,3448.00
984,1662.00,3416.00
985,1665.00,3475.00
986,1665.00,3468.00
987,1647.00,3532.00
988,1620.00,3494.00
989,1611.00,3490.00
990,1612.00,3495.00
991,1604.00,3491.00
992,1606.00,3519.00
993,1678.00,3676.00
994,1597.00,3492.00
995,1582.00,3431.00
996,1577.00,3454.00
997,1570.00,3500.00
998,1547.00,3433.00
999,1540.00,3435.00
1000,1534.00,3472.00
1001,1283.00,2992.00
1002,1592.00,3784.00
1003,1495.00,3600.00
1004,1543.00,3668.00
1005,1533.00,3792.00
1006,1529.00,3737.00
1007,1508.00,3857.00
1008,156.00,439.00
1009,1074.00,2837.00
1010,1239.00,2471.00
1011,1475.00,3465.00
1012,1538.00,3426.00
1013,1531.00,3496.00
1014,1543.00,3444.00
1015,1596.00,3723.00
1016,1612.00,3526.00
1017,1614.00,3578.00
1018,1610.00,3635.00
1019,1613.00,3681.00
1020,1612.00,3721.00
1021,1614.00,3754.00
1022,1586.00,3726.00
1023,1626.00,3664.00
1024,1610.00,3621.00
1025,1590.00,3604.00
1026,1586.00,3619.00
1027,1579.00,3623.00
1028,1551.00,3568.00
1029,1491.00,3710.00
1030,1474.00,3546.00
1031,1472.00,3553.00
1032,1201.00,3198.00
1033,1471.00,3641.00
1034,1471.00,3564.00
1035,1477.00,3575.00
1036,1467.00,3644.00
1037,1483.00,3684.00
1038,1454.00,3629.00
1039,1445.00,3591.00
1040,1441.00,3598.00
1041,1442.00,3658.00
1042,1435.00,3574.00
1043,1440.00,3587.00
1044,1451.00,3629.00
1045,1457.00,3640.00
1046,1494.00,3705.00
1047,1479.00,3693.00
1048,1465.00,3693.00
1049,1455.00,3668.00
1050,1448.00,3666.00
1051,1174.00,3093.00
1052,1365.00,3617.00
1053,1433.00,3511.00
1054,1417.00,3634.00
1055,1401.00,3480.00
1056,1445.00,3718.00
1057,1468.00,3768.00
1058,1496.00,3829.00
1059,1490.00,3796.00
1060,1489.00,3803.00
1061,1494.00,3807.00
1062,1494.00,3808.00
1063,1494.00,3634.00
1064,1471.00,3640.00
1065,1459.00,3652.00
1066,1486.00,3820.00
1067,1535.00,3989.00
1068,1510.00,3917.00
1069,1508.00,3945.00
1070,1507.00,3929.00
1071,1442.00,3805.00
1072,1435.00,3808.00
1073,1430.00,3808.00
1074,1403.00,3755.00
1075,1416.00,3785.00
1076,1400.00,3695.00
1077,1391.00,3735.00
1078,1393.00,3742.00
1079,1377.00,3729.00
1080,1379.00,3723.00
1081,1376.00,3726.00
1082,1379.00,3736.00
1083,1400.00,3787.00
1084,1400.00,3782.00
1085,1380.00,3735.00
1086,806.00,2355.00
1090,530.00,1739.00
1091,1235.00,3859.00
1092,1411.00,3912.00
1093,1382.00,3755.00
1094,1387.00,3892.00
1095,1408.00,3793.00
1096,1417.00,3995.00
1097,1410.00,3776.00
1098,1033.00,2842.00
1099,445.00,1230.00
1100,836.00,1627.00
1101,1425.00,4028.00
1102,1292.00,3531.00
1103,1279.00,3741.00
1104,1262.00,3735.00
1105,1263.00,3956.00
1106,1263.00,3809.00
1107,1190.00,3683.00
1108,1178.00,3694.00
1109,1167.00,3716.00
1110,1151.00,3683.00
1111,1136.00,3635.00
1112,1130.00,3642.00
1113,1123.00,3643.00
1114,1128.00,3679.00
1115,1108.00,3635.00
1116,1096.00,3604.00
1117,1111.00,3673.00
1118,1100.00,3652.00
1119,1099.00,3666.00
1120,1094.00,3624.00
1121,1086.00,3666.00
1122,1085.00,3642.00
1123,1094.00,3651.00
1124,1155.00,3340.00
1125,1273.00,3655.00
1126,1318.00,3794.00
1127,1320.00,3627.00
1128,1339.00,3684.00
1129,1336.00,3687.00
1130,512.00,1604.00
1131,1307.00,3825.00
1132,1367.00,3931.00
1133,1378.00,3992.00
1134,1402.00,3978.00
1135,1310.00,3873.00
1136,1272.00,3688.00
1137,1269.00,3795.00
1138,1270.00,3770.00
1139,1273.00,3726.00
1140,1222.00,3673.00
1141,1274.00,3806.00
1142,1269.00,3789.00
1143,1257.00,3787.00
1144,1272.00,3722.00
1145,1259.00,3792.00
1146,1252.00,3787.00
1147,1248.00,3792.00
1148,1246.00,3796.00
1149,1143.00,4120.00
1150,1242.00,3934.00
1151,1260.00,3777.00
1152,1260.00,3901.00
1153,1254.00,3863.00
1154,1251.00,3786.00
1155,1256.00,3816.00
1156,1257.00,3724.00
1157,1106.00,3761.00
1158,1270.00,3816.00
1159,1294.00,3885.00
1160,1301.00,3905.00
1161,1303.00,3914.00
1162,1296.00,3979.00
1163,1293.00,3872.00
1164,1293.00,3866.00
1165,1290.00,3937.00
1166,1288.00,3914.00
1167,1286.00,3914.00
1168,1286.00,3922.00
1169,1283.00,3929.00
1170,1280.00,3940.00
1171,1281.00,3944.00
1172,1248.00,3872.00
1173,1247.00,3867.00
1174,1245.00,3872.00
1175,1244.00,3869.00
1176,1242.00,3866.00
1177,1238.00,3796.00
1178,1240.00,3866.00
1179,1235.00,3871.00
1180,1232.00,3870.00
1181,1232.00,3866.00
1182,1233.00,3862.00
1183,1226.00,3864.00
1184,1225.00,3865.00
1185,961.00,3180.00
1186,1123.00,3663.00
1187,1206.00,3923.00
1188,1209.00,3935.00
1189,1214.00,3938.00
1190,1214.00,3932.00
1191,1213.00,3937.00
1192,1202.00,3826.00
1193,920.00,3736.00
1194,1158.00,3847.00
1195,1206.00,3851.00
1196,1204.00,3844.00
1197,1227.00,3922.00
1198,1237.00,3938.00
1199,1239.00,3951.00
1200,1232.00,3952.00
1201,1230.00,3951.00
1202,1229.00,3955.00
1203,1215.00,3907.00
1204,1210.00,3888.00
1205,1208.00,3895.00
1206,1207.00,3887.00
1207,877.00,2263.00
1208,1098.00,3845.00
1209,1144.00,3934.00
1210,1152.00,3943.00
1211,1134.00,3946.00
1212,1134.00,3944.00
1213,1130.00,3922.00
1214,1134.00,3923.00
1215,1135.00,3933.00
1216,1136.00,3934.00
1217,1142.00,3925.00
1218,1145.00,3925.00
1219,1145.00,3926.00
1220,1143.00,3926.00
1221,1107.00,3862.00
1222,1119.00,3960.00
1223,1144.00,3932.00
1224,1144.00,3940.00
1225,656.00,1693.00
1229,0.00,0.00
